index,wd_subclass,wdsubclass1,y_actual,y_pred_proba
FLUX251115113,DAZ,0,0,0.18
FLUX252816244,DAZ,0,0,0.41333333333333333
FLUX254102084,DAZ,0,0,0.24666666666666667
FLUX256516205,DAZ,0,0,0.16
FLUX266402159,DAZ,0,0,0.22
FLUX274701148,DAZ,0,0,0.38666666666666666
FLUX275005165,DAZ,0,0,0.15333333333333332
FLUX289907052,DAZ,0,0,0.16666666666666666
FLUX293001130,DAZ,0,0,0.22
FLUX293105125,DAZ,0,0,0.18666666666666668
FLUX295309183,DAZ,0,0,0.44666666666666666
FLUX301508101,DAZ,0,0,0.3
FLUX301510228,DAZ,0,0,0.4533333333333333
FLUX330915126,DAZ,0,0,0.08666666666666667
FLUX331806201,DAZ,0,0,0.1
FLUX332906123,DAZ,0,0,0.35333333333333333
FLUX333215092,DAZ,0,0,0.6933333333333334
FLUX334401183,DAZ,0,0,0.02666666666666667
FLUX342609240,DAZ,0,0,0.2
FLUX346909188,DAZ,0,0,0.5933333333333334
FLUX347012027,DAZ,0,0,0.18666666666666668
FLUX362614236,DAZ,0,0,0.7333333333333333
FLUX364016220,DAZ,0,0,0.8733333333333333
FLUX364308238,DAZ,0,0,0.62
FLUX367309174,DAZ,0,0,0.6466666666666666
FLUX367602240,DAZ,0,0,0.26
FLUX367905234,DAZ,0,0,0.30666666666666664
FLUX368602177,DAZ,0,0,0.08
FLUX369002119,DAZ,0,0,0.86
FLUX370914014,DAZ,0,0,0.0
FLUX374607068,DAZ,0,0,0.32666666666666666
FLUX379501134,DAZ,0,0,0.37333333333333335
FLUX380816248,DAZ,0,0,0.3933333333333333
FLUX389515054,DAZ,0,0,0.41333333333333333
FLUX393704067,DAZ,0,0,0.25333333333333335
FLUX393714166,DAZ,0,0,0.20666666666666667
FLUX405204087,DAZ,0,0,0.12666666666666668
FLUX405312180,DAZ,0,0,0.4
FLUX396802204,DAZ,0,0,0.16
FLUX399508084,DAZ,0,0,0.4
FLUX399709062,DAZ,0,0,0.21333333333333335
FLUX400104225,DAZ,0,0,0.11333333333333333
FLUX401002202,DAZ,0,0,0.32
FLUX402609119,DAZ,0,0,0.4266666666666667
FLUX405716024,DAZ,0,0,0.24666666666666667
FLUX408810205,DAZ,0,0,0.12
FLUX413901052,DAZ,0,0,0.26666666666666666
FLUX422008093,DAZ,0,0,0.31333333333333335
FLUX424411243,DAZ,0,0,0.16
FLUX435504172,DAZ,0,0,0.14
FLUX437908111,DAZ,0,0,0.3933333333333333
FLUX442815100,DAZ,0,0,0.09333333333333334
FLUX446202215,DAZ,0,0,0.8466666666666667
FLUX459101235,DAZ,0,0,0.32666666666666666
FLUX462811208,DAZ,0,0,0.19333333333333333
FLUX461301072,DAZ,0,0,0.2733333333333333
FLUX468914032,DAZ,0,0,0.37333333333333335
FLUX469304141,DAZ,0,0,0.43333333333333335
FLUX469312008,DAZ,0,0,0.3333333333333333
FLUX469505074,DAZ,0,0,0.29333333333333333
FLUX471204218,DAZ,0,0,0.29333333333333333
FLUX472805135,DAZ,0,0,0.9333333333333333
FLUX480414030,DAZ,0,0,0.16666666666666666
