source_id,logg_gspphot,logg_gspphot_upper,logg_gspphot_lower
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375332716809805952,3.7372,3.7643,3.7169
3375318869835308928,3.5428,3.5821,3.4999
3375318869835308928,3.5428,3.5821,3.4999
3375318869835308928,3.5428,3.5821,3.4999
3375318869835308928,3.5428,3.5821,3.4999
3375318869835308928,3.5428,3.5821,3.4999
3375318869835308928,3.5428,3.5821,3.4999
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423624809393510912,2.383,2.4315,2.3544
3423625054207479424,2.1215,2.1942,2.0518
3423625054207479424,2.1215,2.1942,2.0518
3423625054207479424,2.1215,2.1942,2.0518
3423625054207479424,2.1215,2.1942,2.0518
3376977929802701440,3.8268,3.8586,3.7754
3376977929802701440,3.8268,3.8586,3.7754
3376977929802701440,3.8268,3.8586,3.7754
3376977929802701440,3.8268,3.8586,3.7754
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3377123237136129024,3.4812,3.5742,3.2753
3425916638302885632,4.1011,4.1485,3.8222
3425916638302885632,4.1011,4.1485,3.8222
3425916638302885632,4.1011,4.1485,3.8222
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
3426597824414830080,4.3858,4.3959,4.3507
