source_id,teff_gspphot,teff_gspphot_upper,teff_gspphot_lower
256831077140471552,9235.36,9250.294,9192.406
190879547908977408,6770.805,6779.4414,6758.3833
355607211751426560,7156.3174,7164.9814,7149.03
358885096432674688,6547.3066,6576.4893,6526.7183
359536488353554304,5970.4546,5977.5977,5962.132
359528791772166528,5056.5337,5059.4326,5048.789
456085738258929536,7448.0596,7456.749,7438.7266
407753204265230080,6196.765,6207.7256,6130.977
213114563539459840,8919.064,8955.3125,8870.21
215662990972696960,4819.2886,4821.744,4816.2046
254612056518986112,9220.563,9247.151,9156.651
274950066697380864,5838.9663,5864.576,5827.7324
251875715675349120,6806.852,6819.7075,6794.289
251913511387932672,5824.0156,5844.197,5814.266
273616664029185536,5181.8623,5185.9263,5177.6514
273609414122930944,4606.6216,4725.9956,4352.4316
316204666381672448,5701.4805,5706.268,5699.381
249921127592893824,34127.008,34184.312,34063.258
249921127592893824,34127.008,34184.312,34063.258
249597630660463104,25385.033,25444.469,25349.91
249597630660463104,25385.033,25444.469,25349.91
250094644276114816,5318.8726,5333.4893,5301.847
443762965990465920,32496.959,32505.453,32481.656
443762965990465920,32496.959,32505.453,32481.656
270670973598716032,6876.3203,6925.1445,6848.1226
2808670223719757312,4800.501,4849.0063,4771.3584
408362501208573184,6128.9785,6139.138,6114.135
504429894444111744,6174.1465,6211.533,6141.575
456158031150485120,6455.443,6464.0884,6447.75
456251803174829056,8511.4375,8562.165,8310.478
408436791261346304,5434.557,5458.3965,5413.3506
408501177112050560,7989.774,8010.5693,7962.4243
456822243555584256,9748.191,9767.46,9728.202
456973838721898752,6240.805,6288.113,6215.924
409441195135132672,4592.34,4622.8506,4439.4834
3262517841635204608,3583.5989,3593.727,3573.183
441995432329279232,5357.5854,5428.2925,5342.119
442755538461108736,23811.314,24225.836,23662.188
3396691383014277632,9219.53,9250.035,8982.323
3399408860361843840,5836.941,5841.916,5832.0723
3400946248198487040,5642.7285,5658.86,5633.508
239505694463734400,7497.806,7516.5493,7472.001
255809699557964672,7647.889,7666.2964,7624.292
254972696332114944,9408.564,9433.416,9376.333
256027677738509056,9349.245,9415.019,9160.765
260523580784961152,9159.145,9222.831,9057.709
3442479681462756352,5657.543,5675.343,5620.438
3429480155486301440,5825.503,5837.226,5814.196
248687441191749888,6472.0425,6486.071,6453.699
249856153332327680,6441.7,6457.768,6413.728
249921127592893824,34127.008,34184.312,34063.258
249921127592893824,34127.008,34184.312,34063.258
251390693608393216,4678.6826,4697.5684,4671.365
249597630660463104,25385.033,25444.469,25349.91
249597630660463104,25385.033,25444.469,25349.91
250459132380264448,6832.2646,6853.6777,6813.66
251579843967952256,9477.804,9496.694,9454.776
443762965990465920,32496.959,32505.453,32481.656
443762965990465920,32496.959,32505.453,32481.656
443731148872856448,4933.453,4947.3447,4919.973
273927520880405888,4979.929,4988.042,4970.2993
273937897521473280,5408.636,5433.0835,5372.716
273530768980971008,5643.249,5664.7437,5627.984
3409332433837566848,5199.6753,5215.645,5180.176
3340249602869689984,9472.353,9509.496,9313.816
3339936310774916736,5680.573,5710.007,5660.264
3428469914757069056,4818.8335,4884.1406,4782.257
3428766439298968960,6551.517,6563.5913,6540.3267
366264228203949696,9364.069,9383.048,9345.176
417563386310193408,5825.6626,5836.031,5812.444
424074217433153792,8109.787,8116.406,8102.2134
425810621172549504,9532.771,9568.971,9509.006
425911153463366400,9478.345,9497.413,9458.805
239165911010096512,8878.171,8898.929,8857.821
243032068774824576,4986.706,4998.6616,4969.295
436135516384426112,6721.637,6729.9116,6696.7573
271574875235602176,5809.965,5824.8345,5792.7065
258765835349270400,25957.38,26487.174,25581.87
446913272961761792,5543.3037,5553.441,5529.6143
447649361636827648,17922.945,18002.584,17852.889
3319517039815487488,7743.9536,7764.182,7722.4253
3398414107280163840,9252.803,9303.074,9215.108
3399123811973088896,5734.67,5749.401,5720.64
3399461705639054592,5119.717,5159.067,5054.863
3402738555229853696,9153.641,9202.752,9096.068
3399649344169929216,6397.422,6415.4644,6380.849
3399687998877043840,20589.842,20659.201,20512.469
3399656490996755584,6748.8843,6783.8125,6690.6167
3402894857682644224,5732.948,5755.8843,5713.415
466595802411806976,9245.593,9251.868,9230.4795
491022930691802752,7142.204,7154.679,6961.65
468274550507470336,9241.563,9250.365,9212.923
389784366768116352,5880.328,5937.6216,5760.4897
377737705056539648,7996.4526,7999.087,7991.3003
2556130171099445760,5572.519,5585.83,5566.086
441302465125775104,5223.3477,5238.464,5163.875
446134990527308672,11124.302,11155.148,11076.695
453695404279766144,5079.7295,5082.8984,5076.3174
3415961801758741120,8922.101,9019.323,8818.971
3319706980449461760,5832.514,5839.96,5825.477
440737350510599936,4752.7837,4757.7334,4744.192
451246894962340992,8801.298,8807.774,8799.998
440850359689110784,8952.992,8973.501,8913.005
451331522997708160,5143.2676,5150.43,5135.6553
3288215966701626880,4741.981,4745.562,4738.2964
65858100803946880,5086.6475,5092.0957,5082.262
65858100803946880,5086.6475,5092.0957,5082.262
3223798054331214848,6489.3115,6518.175,6471.303
3237018483360935936,7490.5854,7515.8853,7465.777
3236127741503852544,5908.649,5916.8384,5901.9316
66429095235642880,5787.541,5835.608,5756.671
66429095235642880,5787.541,5835.608,5756.671
67065918624695808,6867.8506,6907.8794,6845.8296
65858100803946880,5086.6475,5092.0957,5082.262
65858100803946880,5086.6475,5092.0957,5082.262
65755816160672896,6014.5503,6027.223,6006.582
65755816160672896,6014.5503,6027.223,6006.582
66429095235642880,5787.541,5835.608,5756.671
66429095235642880,5787.541,5835.608,5756.671
65755816160672896,6014.5503,6027.223,6006.582
65755816160672896,6014.5503,6027.223,6006.582
236479701025974144,5197.412,5204.7305,5186.396
3403212414679584256,17189.05,17253.338,17122.145
3411603165867005568,5531.406,5539.9395,5522.8096
3411992835364907264,5678.7334,5702.332,5649.9385
3413536588344534144,7604.8374,7627.499,7584.67
3444039544866394112,9965.9,9988.764,9940.547
731913936781506816,6691.289,6722.8184,6672.3867
