source_id,mh_gspphot,mh_gspphot_upper,mh_gspphot_lower
3043003403170176256,-0.6304,-0.6161,-0.6387
3067448913911165056,0.0498,0.05,0.0489
3088408796693423104,-0.9039,-0.8956,-0.9117
856967063566624768,-0.5138,-0.4957,-0.5309
666748803183884032,0.3434,0.3635,0.3254
3095249275143491072,-0.1038,-0.1027,-0.1046
3073511346144081408,-0.3233,-0.1871,-0.3811
866673719719027200,-0.3102,-0.3046,-0.3155
866664408229934464,-0.3382,-0.3269,-0.3469
3740028148076776064,-0.2616,-0.247,-0.2726
792594025014531712,0.067,0.0709,0.0628
1563575495421445248,0.0191,0.0219,0.0177
853755596259550720,0.0939,0.1122,0.0746
2128854798591003520,-0.1192,-0.1098,-0.1277
2086552634904294272,-0.0507,-0.0417,-0.0579
2086939972233921024,-0.6221,-0.5866,-0.6457
2078984284053851520,-0.3743,-0.3091,-0.4041
2078688171831562240,-0.4496,-0.4372,-0.4614
2076141874700637568,-0.0755,-0.0673,-0.0821
2079164844478822400,-0.3814,-0.3686,-0.3934
2078984662011004928,-0.2189,-0.2149,-0.2246
2078686969240726912,-0.4058,-0.3977,-0.4136
2082255571665609856,-0.3652,-0.3596,-0.3706
2082473996525637504,-0.3126,-0.3097,-0.3151
2073689276577590912,-0.539,-0.531,-0.5481
2073689276577590912,-0.539,-0.531,-0.5481
2075382249608572544,-0.3371,-0.3229,-0.3499
3424596193555690240,-1.1462,-1.1405,-1.1527
2078689065184659840,-0.1336,-0.1292,-0.1361
1801136012079571840,-0.1614,-0.1496,-0.1659
1849262151423830784,-0.0059,-0.0037,-0.0085
1849582727783041280,0.2259,0.2336,0.2174
1967072760763286272,-0.476,-0.4458,-0.5025
1967058295313735808,-0.3095,-0.3016,-0.3173
3452524029419534720,-0.6514,-0.6357,-0.6671
869376078782073600,-0.6162,-0.6117,-0.6205
1931141442314999168,-0.3715,-0.3651,-0.3794
3069614127180337408,-0.1271,-0.1214,-0.1318
3069614127180337408,-0.1271,-0.1214,-0.1318
3070827953658741120,-0.3179,-0.317,-0.3189
978030711192354048,-0.2903,-0.2863,-0.2938
3344289895784662272,-0.0758,-0.0704,-0.0819
3345332164089664512,-0.4802,-0.4619,-0.4996
3345145208454877824,-0.8856,-0.7578,-0.9243
3453191059316681344,-0.5517,-0.3475,-0.615
942722850203918720,-0.1535,-0.1514,-0.1553
3145929992314961664,-0.2074,-0.1993,-0.2213
3375522485645705472,0.5046,0.5544,0.4198
3371304174925694848,-0.096,-0.0593,-0.1322
4531088728043508608,0.2484,0.2544,0.2433
2127623689164849280,-0.1208,-0.1095,-0.1294
2131000529891233920,-0.433,-0.4217,-0.4438
2073702054092538112,-0.3102,-0.2666,-0.3364
2073626192096520960,0.434,0.4863,0.3693
2073473772308047360,-0.7452,-0.5307,-0.8198
2076373906014830208,-0.0629,-0.0565,-0.0801
2073689276577590912,-0.539,-0.531,-0.5481
2073689276577590912,-0.539,-0.531,-0.5481
2078639484081442432,0.1167,0.1253,0.1076
2078856809422854144,-0.3059,-0.2646,-0.3515
2075575248259215616,0.0708,0.0908,0.0514
4493173924975781632,0.4415,0.4754,0.4288
2103220990657662080,-0.1325,-0.1213,-0.146
2099379881147883136,-0.46,-0.4538,-0.4663
2101224414982209152,-0.2215,-0.1857,-0.2333
2078752665057306752,0.2657,0.2736,0.2418
2067811837156779648,-1.7003,-1.5321,-1.8626
1994986028097517312,-0.5323,-0.3274,-0.5865
2009772741506418432,-0.1662,-0.1644,-0.168
2013311618453181184,0.1997,0.2224,0.181
817374023511240960,-0.1779,-0.1648,-0.184
597059385391141120,-0.0099,-0.0095,-0.0101
4440955162834974208,-0.4269,-0.4198,-0.4338
1362316179789651456,-0.0421,-0.0335,-0.0508
4490294991216506624,-0.5532,-0.5321,-0.5677
